"field","value","rows","complete_rows","incomplete_rows","incomplete_share","np_rate_all","np_rate_complete","np_rate_incomplete"
"AgeRange","(missing)",8,7,1,0.125,1,1,1
"AgeRange","11_18",75,71,4,0.0533333333333333,0.826666666666667,0.816901408450704,1
"AgeRange","19_29",736,644,92,0.125,0.816576086956522,0.835403726708075,0.684782608695652
"AgeRange","30_39",191,176,15,0.0785340314136126,0.764397905759162,0.784090909090909,0.533333333333333
"AgeRange","40_49",160,136,24,0.15,0.7875,0.801470588235294,0.708333333333333
"AgeRange","50_59",217,191,26,0.119815668202765,0.80184331797235,0.816753926701571,0.692307692307692
"AgeRange","60_69",307,271,36,0.117263843648208,0.807817589576547,0.826568265682657,0.666666666666667
"AgeRange","70_79",125,108,17,0.136,0.768,0.805555555555556,0.529411764705882
"AgeRange","80_89",19,16,3,0.157894736842105,0.631578947368421,0.625,0.666666666666667
"AgeRange","90_99",1,1,0,0,1,1,NA
"Gender","(missing)",2,2,0,0,1,1,NA
"Gender","F",1138,1013,125,0.109841827768014,0.811072056239016,0.82329713721619,0.712
"Gender","M",699,606,93,0.133047210300429,0.785407725321888,0.811881188118812,0.612903225806452
"Level1Dialect","(missing)",2,2,0,0,1,1,NA
"Level1Dialect","non_uk",11,7,4,0.363636363636364,0.818181818181818,1,0.5
"Level1Dialect","uk",1720,1521,199,0.115697674418605,0.798837209302326,0.815910585141354,0.668341708542714
"Level1Dialect","unspecified",106,91,15,0.141509433962264,0.839622641509434,0.857142857142857,0.733333333333333
"Level2Dialect","(missing)",2,2,0,0,1,1,NA
"Level2Dialect","english",1689,1491,198,0.117229129662522,0.799881586737715,0.81757209926224,0.666666666666667
"Level2Dialect","non_uk",11,7,4,0.363636363636364,0.818181818181818,1,0.5
"Level2Dialect","scottish",2,2,0,0,1,1,NA
"Level2Dialect","unspecified",112,97,15,0.133928571428571,0.821428571428571,0.835051546391753,0.733333333333333
"Level2Dialect","welsh",23,22,1,0.0434782608695652,0.782608695652174,0.772727272727273,1
"Relation","Acquaintances",17,17,0,0,0.941176470588235,0.941176470588235,NA
"Relation","Close family, partners, very close friends",1171,1037,134,0.114432109308284,0.81468830059778,0.832208293153327,0.67910447761194
"Relation","Colleagues",110,94,16,0.145454545454545,0.809090909090909,0.840425531914894,0.625
"Relation","Friends, wider family circle",538,470,68,0.12639405204461,0.767657992565056,0.782978723404255,0.661764705882353
"Relation","Strangers",3,3,0,0,0.666666666666667,0.666666666666667,NA
"NumSpeakers","2 speakers",887,782,105,0.118376550169109,0.802705749718151,0.827365728900256,0.619047619047619
"NumSpeakers","3 speakers",499,431,68,0.13627254509018,0.801603206412826,0.814385150812065,0.720588235294118
"NumSpeakers","4 speakers",365,324,41,0.112328767123288,0.791780821917808,0.805555555555556,0.682926829268293
"NumSpeakers","5 speakers",78,75,3,0.0384615384615385,0.858974358974359,0.853333333333333,1
"NumSpeakers","6 speakers",4,4,0,0,0.75,0.75,NA
"NumSpeakers","7 speakers",3,2,1,0.333333333333333,0.333333333333333,0,1
"NumSpeakers","8 speakers",3,3,0,0,0.666666666666667,0.666666666666667,NA
"SpeakerHighestQual","(missing)",16,14,2,0.125,0.875,0.928571428571429,0.5
"SpeakerHighestQual","College/6th Form",373,339,34,0.0911528150134048,0.85254691689008,0.855457227138643,0.823529411764706
"SpeakerHighestQual","Graduate",663,589,74,0.111613876319759,0.808446455505279,0.835314091680815,0.594594594594595
"SpeakerHighestQual","Postgraduate",563,476,87,0.154529307282416,0.760213143872114,0.771008403361345,0.701149425287356
"SpeakerHighestQual","Secondary School",224,203,21,0.09375,0.794642857142857,0.817733990147783,0.571428571428571
"SpeakerSocGrade","(missing)",2,2,0,0,1,1,NA
"SpeakerSocGrade","A",308,268,40,0.12987012987013,0.772727272727273,0.787313432835821,0.675
"SpeakerSocGrade","B",611,541,70,0.114566284779051,0.816693944353519,0.829944547134935,0.714285714285714
"SpeakerSocGrade","C1",203,175,28,0.137931034482759,0.798029556650246,0.822857142857143,0.642857142857143
"SpeakerSocGrade","C2",57,52,5,0.087719298245614,0.789473684210526,0.788461538461538,0.8
"SpeakerSocGrade","D",34,31,3,0.0882352941176471,0.852941176470588,0.838709677419355,1
"SpeakerSocGrade","E",624,552,72,0.115384615384615,0.799679487179487,0.824275362318841,0.611111111111111
