"model","group","n","observed","observed_lo","observed_hi","predicted"
"native_oof_full_core","give",729,0.876543209876543,0.850670763043164,0.89846807645899,0.876481276135666
"native_oof_full_core","show",243,0.876543209876543,0.82922928595142,0.912137261120121,0.8762549128301
"native_oof_full_core","offer",62,0.870967741935484,0.765506727098264,0.93314121940717,0.869956193602285
"native_oof_full_core","lend",26,0.769230769230769,0.579484459210563,0.889661505942167,0.77236505386234
"native_oof_full_core","send",486,0.777777777777778,0.738718541046908,0.812480209361095,0.777552145624031
"native_oof_full_core","sell",75,0.32,0.225429950347728,0.432110632946082,0.318604888493689
"source_full_core","give",729,0.876543209876543,0.850670763043164,0.89846807645899,0.876709170787984
"source_full_core","show",243,0.876543209876543,0.82922928595142,0.912137261120121,0.874618659582781
"source_full_core","offer",62,0.870967741935484,0.765506727098264,0.93314121940717,0.704455317215425
"source_full_core","lend",26,0.769230769230769,0.579484459210563,0.889661505942167,0.663009359541522
"source_full_core","send",486,0.777777777777778,0.738718541046908,0.812480209361095,0.686535234433035
"source_full_core","sell",75,0.32,0.225429950347728,0.432110632946082,0.410860171755122
"source_nonverb","give",729,0.876543209876543,0.850670763043164,0.89846807645899,0.849234691309087
"source_nonverb","show",243,0.876543209876543,0.82922928595142,0.912137261120121,0.79110390711365
"source_nonverb","offer",62,0.870967741935484,0.765506727098264,0.93314121940717,0.874429090864019
"source_nonverb","lend",26,0.769230769230769,0.579484459210563,0.889661505942167,0.786408507728045
"source_nonverb","send",486,0.777777777777778,0.738718541046908,0.812480209361095,0.827220351285714
"source_nonverb","sell",75,0.32,0.225429950347728,0.432110632946082,0.566972061406279
"source_verb_only","give",729,0.876543209876543,0.850670763043164,0.89846807645899,0.857482185273154
"source_verb_only","show",243,0.876543209876543,0.82922928595142,0.912137261120121,0.867924528301389
"source_verb_only","offer",62,0.870967741935484,0.765506727098264,0.93314121940717,0.666666666666629
"source_verb_only","lend",26,0.769230769230769,0.579484459210563,0.889661505942167,0.666666666666623
"source_verb_only","send",486,0.777777777777778,0.738718541046908,0.812480209361095,0.633093525179854
"source_verb_only","sell",75,0.32,0.225429950347728,0.432110632946082,0.394736842105275
