"model","group","n","observed","predicted"
"nonverb_main","bring",11,0.636363636363636,0.773601408033765
"nonverb_main","charge",8,1,0.998291930822653
"nonverb_main","cost",33,1,0.989300957867868
"nonverb_main","do",6,1,0.842935678788032
"nonverb_main","give",333,0.858858858858859,0.809041272434596
"nonverb_main","lend",4,0.5,0.251487114088702
"nonverb_main","offer",15,0.6,0.748181039125257
"nonverb_main","owe",6,1,0.891016179417878
"nonverb_main","pay",41,0.658536585365854,0.72197776241057
"nonverb_main","sell",41,0.146341463414634,0.274029512412272
"nonverb_main","send",34,0.558823529411765,0.57787983760358
"nonverb_main","show",11,0.727272727272727,0.768278374400119
"nonverb_main","take",11,0,0.124915031155737
"nonverb_main","teach",12,0.916666666666667,0.889548146988834
"nonverb_main","tell",25,0.96,0.865063574825049
"fixed_verb_full","bring",11,0.636363636363636,0.682425562973255
"fixed_verb_full","charge",8,1,0.996527737171434
"fixed_verb_full","cost",33,1,0.999999990884591
"fixed_verb_full","do",6,1,0.937033975949676
"fixed_verb_full","give",333,0.858858858858859,0.847914716991639
"fixed_verb_full","lend",4,0.5,0.313875322479788
"fixed_verb_full","offer",15,0.6,0.686659975137422
"fixed_verb_full","owe",6,1,0.972727762397206
"fixed_verb_full","pay",41,0.658536585365854,0.690421429036797
"fixed_verb_full","sell",41,0.146341463414634,0.149344870294839
"fixed_verb_full","send",34,0.558823529411765,0.434194083812462
"fixed_verb_full","show",11,0.727272727272727,0.692822600188944
"fixed_verb_full","take",11,0,0.0119285201589153
"fixed_verb_full","teach",12,0.916666666666667,0.987994046551765
"fixed_verb_full","tell",25,0.96,0.990997231257738
