"model","group","n","observed","predicted","sim_q05","sim_q50","sim_q95"
"hierarchical_verb_intercept","bring",11,0.636363636363636,0.683985579070506,0.545454545454545,0.636363636363636,0.818181818181818
"hierarchical_verb_intercept","charge",8,1,0.997944427055293,1,1,1
"hierarchical_verb_intercept","cost",33,1,0.998321475588518,1,1,1
"hierarchical_verb_intercept","do",6,1,0.89412526806188,0.833333333333333,0.833333333333333,1
"hierarchical_verb_intercept","give",333,0.858858858858859,0.847940288592292,0.825825825825826,0.846846846846847,0.868018018018018
"hierarchical_verb_intercept","lend",4,0.5,0.30398048949217,0,0.25,0.5
"hierarchical_verb_intercept","offer",15,0.6,0.668341287562211,0.533333333333333,0.666666666666667,0.8
"hierarchical_verb_intercept","owe",6,1,0.966685136708669,0.833333333333333,1,1
"hierarchical_verb_intercept","pay",41,0.658536585365854,0.693797067666249,0.609756097560976,0.682926829268293,0.780487804878049
"hierarchical_verb_intercept","sell",41,0.146341463414634,0.152221698633421,0.0975609756097561,0.146341463414634,0.219512195121951
"hierarchical_verb_intercept","send",34,0.558823529411765,0.438602543657071,0.352941176470588,0.441176470588235,0.529411764705882
"hierarchical_verb_intercept","show",11,0.727272727272727,0.680008018863356,0.545454545454545,0.727272727272727,0.818181818181818
"hierarchical_verb_intercept","take",11,0,0.0230076176331593,0,0,0.0909090909090909
"hierarchical_verb_intercept","teach",12,0.916666666666667,0.972360050606061,0.916666666666667,1,1
"hierarchical_verb_intercept","tell",25,0.96,0.984928786932547,0.96,1,1
